"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/step_diff","[paper]GEPO_diff4 - train/step_diff__MIN","[paper]GEPO_diff4 - train/step_diff__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/step_diff","[paper]GEPO_diff32 - train/step_diff__MIN","[paper]GEPO_diff32 - train/step_diff__MAX"
"310","12357","12357","12357","3","3","3","12357","12357","12357","28","28","28"
"311","12392","12392","12392","5","5","5","12392","12392","12392","29","29","29"
"312","12427","12427","12427","0","0","0","12427","12427","12427","30","30","30"
"313","12462","12462","12462","1","1","1","12462","12462","12462","31","31","31"
"314","12497","12497","12497","2","2","2","12497","12497","12497","32","32","32"
"315","12532","12532","12532","3","3","3","12532","12532","12532","27","27","27"
"316","12567","12567","12567","4","4","4","12567","12567","12567","34","34","34"
"317","12602","12602","12602","1","1","1","12602","12602","12602","35","35","35"
"318","12637","12637","12637","1","1","1","12637","12637","12637","30","30","30"
"319","12672","12672","12672","3","3","3","12672","12672","12672","31","31","31"
"320","12707","12707","12707","3","3","3","12707","12707","12707","38","38","38"
"321","13119","13119","13119","0","0","0","13119","13119","13119","33","33","33"
"322","13154","13154","13154","5","5","5","13154","13154","13154","34","34","34"
"323","13189","13189","13189","2","2","2","13189","13189","13189","41","41","41"
"324","13224","13224","13224","3","3","3","13224","13224","13224","42","42","42"
"325","13259","13259","13259","4","4","4","13259","13259","13259","3","3","3"
"326","13294","13294","13294","0","0","0","13294","13294","13294","21","21","21"
"327","13329","13329","13329","1","1","1","13329","13329","13329","22","22","22"
"328","13364","13364","13364","2","2","2","13364","13364","13364","23","23","23"
"329","13399","13399","13399","3","3","3","13399","13399","13399","4","4","4"
"330","13434","13434","13434","4","4","4","13434","13434","13434","4","4","4"
"331","13469","13469","13469","1","1","1","13469","13469","13469","26","26","26"
"332","13504","13504","13504","6","6","6","13504","13504","13504","27","27","27"
"333","13539","13539","13539","7","7","7","13539","13539","13539","28","28","28"
"334","13574","13574","13574","3","3","3","13574","13574","13574","29","29","29"
"335","13609","13609","13609","2","2","2","13609","13609","13609","30","30","30"
"336","13644","13644","13644","6","6","6","13644","13644","13644","31","31","31"
"337","13679","13679","13679","7","7","7","13679","13679","13679","32","32","32"
"338","13714","13714","13714","0","0","0","13714","13714","13714","4","4","4"
"339","13749","13749","13749","1","1","1","13749","13749","13749","34","34","34"
"340","13784","13784","13784","2","2","2","13784","13784","13784","35","35","35"
"341","13819","13819","13819","3","3","3","13819","13819","13819","36","36","36"
"342","13854","13854","13854","4","4","4","13854","13854","13854","4","4","4"
"343","13889","13889","13889","0","0","0","13889","13889","13889","21","21","21"
"344","13924","13924","13924","1","1","1","13924","13924","13924","22","22","22"
"345","13959","13959","13959","2","2","2","13959","13959","13959","20","20","20"
"346","13994","13994","13994","3","3","3","13994","13994","13994","4","4","4"
"347","14029","14029","14029","4","4","4","14029","14029","14029","25","25","25"
"348","14064","14064","14064","0","0","0","14064","14064","14064","22","22","22"
"349","14099","14099","14099","1","1","1","14099","14099","14099","24","24","24"
"350","14134","14134","14134","2","2","2","14134","14134","14134","28","28","28"
"351","14169","14169","14169","3","3","3","14169","14169","14169","25","25","25"
"352","14204","14204","14204","2","2","2","14204","14204","14204","27","27","27"
"353","14239","14239","14239","5","5","5","14239","14239","14239","19","19","19"
"354","14274","14274","14274","4","4","4","14274","14274","14274","28","28","28"
"355","14309","14309","14309","0","0","0","14309","14309","14309","30","30","30"
"356","14344","14344","14344","1","1","1","14344","14344","14344","22","22","22"
"357","14379","14379","14379","2","2","2","14379","14379","14379","23","23","23"
"358","14414","14414","14414","3","3","3","14414","14414","14414","33","33","33"
"359","14449","14449","14449","4","4","4","14449","14449","14449","25","25","25"
"360","14484","14484","14484","0","0","0","14484","14484","14484","26","26","26"
"361","14519","14519","14519","1","1","1","14519","14519","14519","23","23","23"
"362","14554","14554","14554","2","2","2","14554","14554","14554","28","28","28"
"363","14589","14589","14589","3","3","3","14589","14589","14589","4","4","4"
"364","14624","14624","14624","4","4","4","14624","14624","14624","30","30","30"
"365","14659","14659","14659","0","0","0","14659","14659","14659","27","27","27"
"366","14694","14694","14694","1","1","1","14694","14694","14694","3","3","3"
"367","14729","14729","14729","2","2","2","14729","14729","14729","3","3","3"
"368","14764","14764","14764","3","3","3","14764","14764","14764","34","34","34"
"369","14799","14799","14799","4","4","4","14799","14799","14799","35","35","35"
"370","14834","14834","14834","0","0","0","14834","14834","14834","28","28","28"
"371","14869","14869","14869","1","1","1","14869","14869","14869","37","37","37"
"372","14904","14904","14904","2","2","2","14904","14904","14904","4","4","4"
"373","14939","14939","14939","3","3","3","14939","14939","14939","35","35","35"
"374","14974","14974","14974","3","3","3","14974","14974","14974","32","32","32"
"375","15009","15009","15009","5","5","5","15009","15009","15009","37","37","37"
"376","15044","15044","15044","0","0","0","15044","15044","15044","34","34","34"
"377","15079","15079","15079","1","1","1","15079","15079","15079","39","39","39"
